Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recov,Active_cases,Serious_critical,Total_cases_1mio,Deaths_1miopop,Total_tests,Tests_1miopop
"North America","1,572,319","2,433","95,770",303,"385,324","1,091,225","17,528",,,,
Europe,"1,706,795","10,474","157,492",119,"712,213","837,090","13,053",,,,
"South America","356,455","1,164","19,121",96,"127,918","209,416","10,124",,,,
Asia,"723,013","2,130","23,271",12,"407,771","291,971","4,944",,,,
Africa,"73,974",1,"2,507",,"26,250","45,217",258,,,,
Oceania,"8,590",9,119,,"7,806",665,21,,,,
,721,,15,,651,55,4,,,,
World,"4,441,867","16,211","298,295",530,"1,667,933","2,475,639","45,932",570,38.3,,
USA,"1,430,348",,"85,197 ",,"310,259","1,034,892","16,349","4,321",257,"10,269,996","31,027"
Spain,"271,095",,"27,104 ",,"183,227","60,764","1,534","5,798",580,"2,467,761","52,781"
Russia,"252,245","9,974","2,305 ",93,"53,530","196,410","2,300","1,728",16,"6,100,000","41,800"
UK,"229,705",,"33,186 ",,N/A,"196,175","1,559","3,384",489,"2,094,209","30,849"
Italy,"222,104",,"31,106 ",,"112,541","78,457",893,"3,673",514,"2,735,628","45,246"
Brazil,"190,137",980,"13,240 ",82,"78,424","98,473","8,318",895,62,"735,224","3,459"
France,"178,060",,"27,074 ",,"58,673","92,313","2,428","2,728",415,"1,384,633","21,213"
Germany,"174,098",,"7,861 ",,"150,300","15,937","1,465","2,078",94,"3,147,771","37,570"
Turkey,"143,114",,"3,952 ",,"101,715","37,447",998,"1,697",47,"1,474,003","17,477"
Iran,"112,725",,"6,783 ",,"89,428","16,514","2,735","1,342",81,"629,534","7,495"
India,"78,194",139,"2,551 ",,"26,400","49,243",,57,2,"1,947,041","1,411"
Peru,"76,306",,"2,169 ",,"24,324","49,813",806,"2,314",66,"553,302","16,781"
Canada,"72,278",,"5,302 ",,"35,164","31,812",502,"1,915",140,"1,169,380","30,983"
Belgium,"53,981",,"8,843 ",,"13,937","31,201",420,"4,658",763,"605,237","52,222"
"Saudi Arabia","44,830",,"273 ",,"17,622","26,935",147,"1,288",8,"496,948","14,274"
Netherlands,"43,211",,"5,562 ",,N/A,"37,399",432,"2,522",325,"275,720","16,091"
Mexico,"40,186","1,862","4,220 ",294,"26,990","8,976",378,312,33,"142,204","1,103"
Pakistan,"35,788",490,"770 ",9,"9,695","25,323",111,162,3,"330,750","1,497"
Chile,"34,381",,"346 ",,"14,865","19,170",494,"1,799",18,"313,750","16,413"
Ecuador,"30,486",,"2,334 ",,"3,433","24,719",190,"1,728",132,"87,036","4,933"
Switzerland,"30,413",,"1,870 ",,"27,100","1,443",79,"3,514",216,"322,084","37,215"
Portugal,"28,132",,"1,175 ",,"3,182","23,775",103,"2,759",115,"566,172","55,525"
Sweden,"27,909",,"3,460 ",,"4,971","19,478",351,"2,763",343,"177,500","17,576"
Qatar,"26,539",,"14 ",,"3,143","23,382",72,"9,212",5,"139,127","48,290"
Singapore,"26,098",752,"21  ",,"4,809","21,268",19,"4,461",4,"224,262","38,333"
Belarus,"25,825",,"146 ",,"7,711","17,968",92,"2,733",15,"296,380","31,365"
Ireland,"23,401",,"1,497 ",,"19,470","2,434",69,"4,739",303,"258,808","52,414"
UAE,"20,386",,"206 ",,"6,523","13,657",1,"2,061",21,"1,500,000","151,662"
Bangladesh,"17,822",,"269 ",,"3,361","14,192",1,108,2,"144,538",878
Poland,"17,204",,"861 ",,"6,696","9,647",160,455,23,"528,122","13,954"
Ukraine,"16,847",422,"456 ",17,"4,143","12,248",222,385,10,"202,495","4,630"
Israel,"16,548",,"264 ",,"12,232","4,052",61,"1,912",31,"477,151","55,127"
Japan,"16,049",,"678 ",,"8,920","6,451",243,127,5,"223,667","1,768"
Romania,"16,002",,"1,036 ",,"7,961","7,005",228,832,54,"277,804","14,441"
Austria,"15,997",,"624 ",,"14,304","1,069",55,"1,776",69,"336,252","37,335"
Indonesia,"15,438",,"1,028 ",,"3,287","11,123",,56,4,"169,195",619
Colombia,"12,930",,"509 ",,"3,133","9,288",130,254,10,"165,738","3,257"
"South Africa","12,074",,"219 ",,"4,745","7,110",119,204,4,"386,352","6,514"
Philippines,"11,618",,"772 ",,"2,251","8,595",77,106,7,"188,649","1,722"
"Dominican Republic","11,196",,"409 ",,"3,221","7,566",131,"1,032",38,"42,615","3,928"
Kuwait,"11,028",,"82 ",,"3,263","7,683",169,"2,582",19,"227,000","53,154"
"S. Korea","10,991",29,"260 ",1,"9,762",969,55,214,5,"711,484","13,877"
Denmark,"10,667",,"533 ",,"8,663","1,471",37,"1,842",92,"345,712","59,686"
Egypt,"10,431",,"556 ",,"2,486","7,389",41,102,5,"105,000","1,026"
Serbia,"10,295",,"222 ",,"3,824","6,249",22,"1,178",25,"156,603","17,923"
Panama,"8,944",161,"256 ",4,"6,067","2,621",87,"2,073",59,"45,873","10,632"
Czechia,"8,269",,"290 ",,"5,047","2,932",43,772,27,"326,954","30,531"
Norway,"8,175",,"229 ",,32,"7,914",23,"1,508",42,"208,874","38,529"
Australia,"6,989",9,"98 ",,"6,297",594,18,274,4,"938,044","36,786"
Argentina,"6,879",,"329 ",,"2,266","4,284",170,152,7,"90,474","2,002"
Malaysia,"6,779",,"111 ",,"5,281","1,387",16,209,3,"271,721","8,395"
Morocco,"6,512",,"188 ",,"3,131","3,193",1,176,5,"75,870","2,056"
Algeria,"6,253",,"522 ",,"3,058","2,673",22,143,12,"6,500",148
Finland,"6,054",,"284 ",,"4,300","1,470",35,"1,093",51,"133,200","24,040"
Bahrain,"5,816",,"10 ",,"2,205","3,601",6,"3,418",6,"205,570","120,812"
Kazakhstan,"5,571",154,"32 ",,"2,408","3,131",31,297,2,"459,736","24,484"
Ghana,"5,408",,"24 ",,514,"4,870",5,174,0.8,"164,452","5,292"
Moldova,"5,406",,"185 ",,"2,176","3,045",251,"1,340",46,"20,447","5,069"
Afghanistan,"5,226",,"132 ",,648,"4,446",7,134,3,"18,724",481
Nigeria,"4,971",,"164 ",,"1,070","3,737",7,24,0.8,"29,408",143
Oman,"4,341",322,"17 ",,"1,303","3,021",27,850,3,"50,000","9,791"
Luxembourg,"3,904",,"103 ",,"3,629",172,22,"6,237",165,"57,687","92,155"
Armenia,"3,860",142,"49 ",1,"1,572","2,239",10,"1,303",17,"36,016","12,154"
Hungary,"3,380",39,"436 ",6,"1,169","1,775",49,350,45,"123,258","12,759"
Bolivia,"3,148",184,"142 ",14,339,"2,667",3,270,12,"7,651",655
Iraq,"3,032",,"115 ",,"1,966",951,,75,3,"136,640","3,397"
Thailand,"3,018",1,"56 ",,"2,850",112,61,43,0.8,"286,008","4,098"
Cameroon,"2,800",,"136 ",,"1,543","1,121",28,105,5,,
Greece,"2,760",,"155 ",,"1,374","1,231",28,265,15,"112,042","10,749"
Azerbaijan,"2,758",,"35 ",,"1,789",934,30,272,3,"208,546","20,568"
Uzbekistan,"2,620",8,"11 ",,"2,076",533,8,78,0.3,"325,000","9,710"
Guinea,"2,374",,"14 ",,856,"1,504",,181,1,,
Honduras,"2,255",175,"123 ",2,237,"1,895",10,228,12,"5,653",571
Croatia,"2,213",,"94 ",,"1,834",285,9,539,23,"48,737","11,872"
"Bosnia and Herzegovina","2,181",,"120 ",,"1,228",833,4,665,37,"44,380","13,527"
Senegal,"2,105",,"21 ",,782,"1,302",6,126,1,"24,599","1,469"
Bulgaria,"2,100",31,"99 ",3,531,"1,470",51,302,14,"61,711","8,881"
"Ivory Coast","1,912",,"24 ",,902,986,,72,0.9,"15,260",579
Sudan,"1,818",,"90 ",,198,"1,530",,41,2,,
Cuba,"1,810",,"79 ",,"1,326",405,7,160,7,"73,129","6,456"
Iceland,"1,802",,"10 ",,"1,780",12,,"5,281",29,"55,075","161,395"
Estonia,"1,751",,"61 ",,777,913,5,"1,320",46,"66,102","49,831"
"North Macedonia","1,694",,"95 ",,"1,229",370,21,813,46,"19,739","9,475"
Lithuania,"1,505",,"54 ",,908,543,17,553,20,"200,264","73,565"
"New Zealand","1,497",,"21 ",,"1,411",65,2,310,4,"209,613","43,468"
Slovakia,"1,477",8,"27 ",,"1,112",338,5,271,5,"131,910","24,161"
Slovenia,"1,463",,"103 ",,260,"1,100",9,704,50,"65,694","31,600"
Guatemala,"1,342",143,"29 ",2,121,"1,192",5,75,2,"7,200",402
Djibouti,"1,268",,"3 ",,900,365,,"1,283",3,"16,424","16,623"
Somalia,"1,219",,"52 ",,130,"1,037",2,77,3,,
DRC,"1,169",,"50 ",,148,971,,13,0.6,,
Mayotte,"1,143",,"14 ",,627,502,6,"4,190",51,"4,800","17,594"
"El Salvador","1,112",75,"20 ",,405,687,19,171,3,"48,913","7,541"
Kyrgyzstan,"1,082",38,"12 ",,735,335,13,166,2,"59,490","9,118"
"Hong Kong","1,051",,"4 ",,"1,008",39,1,140,0.5,"168,291","22,448"
Tunisia,"1,032",,"45 ",,759,228,5,87,4,"34,323","2,904"
Gabon,"1,004",,"9 ",,152,843,1,451,4,"5,530","2,485"
Maldives,955,,"4 ",,40,911,2,"1,767",7,"11,775","21,784"
Latvia,951,,"19 ",,627,305,2,504,10,"81,246","43,074"
"Sri Lanka",915,22,"9 ",,382,524,1,43,0.4,"38,740","1,809"
Cyprus,905,,"17 ",,449,439,10,750,14,"80,284","66,496"
Albania,880,,"31 ",,688,161,1,306,11,"11,048","3,839"
Lebanon,878,,"26 ",,236,616,4,129,4,"54,694","8,013"
Niger,860,,"49 ",,658,153,,36,2,"5,691",235
Guinea-Bissau,836,,"3 ",,26,807,,425,2,"1,500",762
"Costa Rica",815,,"8 ",1,527,280,6,160,2,"18,040","3,541"
Tajikistan,801,,"23 ",,,778,,84,2,,
"Burkina Faso",773,,"51 ",,592,130,,37,2,,
Andorra,760,,"49 ",,576,135,3,"9,836",634,"1,673","21,653"
Mali,758,,"44 ",,412,302,,37,2,"2,498",123
Paraguay,740,,"11 ",,182,547,,104,2,"17,589","2,466"
Kenya,737,,"40 ",,281,416,1,14,0.7,"35,432",659
Uruguay,719,,"19 ",,545,155,8,207,5,"30,209","8,696"
"Diamond Princess",712,,"13 ",,651,48,4,,,,
Georgia,652,5,"12 ",1,383,257,6,163,3,"33,505","8,399"
"San Marino",643,,"41 ",,161,441,2,"18,950","1,208","3,201","94,339"
Jordan,582,,"9 ",,392,181,5,57,0.9,"127,307","12,477"
"Channel Islands",548,,"43 ",,456,49,,"3,152",247,"5,342","30,725"
"Equatorial Guinea",522,,"6 ",,13,503,,372,4,854,609
Tanzania,509,,"21 ",,183,305,7,9,0.4,,
Jamaica,509,2,"9 ",,113,387,,172,3,"7,552","2,550"
Malta,508,,"6 ",,436,66,1,"1,151",14,"45,799","103,725"
Zambia,446,,"7 ",,124,315,1,24,0.4,"13,872",755
Venezuela,440,,"10 ",,220,210,2,15,0.4,"525,902","18,494"
Taiwan,440,,"7 ",,383,50,,18,0.3,"68,335","2,869"
Réunion,439,," ",,354,85,4,490,,"17,200","19,211"
"Sierra Leone",387,,"26 ",,97,264,,49,3,,
Palestine,375,,"2 ",,310,63,,74,0.4,"43,566","8,540"
Chad,372,,"42 ",,78,252,,23,3,,
Congo,333,,"11 ",,53,269,,60,2,,
"Isle of Man",332,,"23 ",,274,35,20,"3,904",270,"3,912","46,006"
Mauritius,332,,"10 ",,322,0,,261,8,"69,773","54,863"
Benin,327,,"2 ",,83,242,,27,0.2,"25,471","2,101"
Montenegro,324,,"9 ",,307,8,2,516,14,"10,167","16,188"
"Cabo Verde",289,,"2 ",,61,226,,520,4,791,"1,423"
Vietnam,288,," ",,252,36,2,3,,"275,000","2,825"
Rwanda,287,," ",,164,123,,22,,"44,245","3,416"
Ethiopia,263,,"5 ",,108,150,,2,0.04,"41,689",363
Nepal,245,2," ",,35,210,,8,,"81,685","2,803"
Haiti,234,15,"18 ",,17,199,,21,2,"1,408",123
"Sao Tome and Principe",220,,"6 ",,4,210,,"1,004",27,175,799
Togo,219,,"11 ",,96,112,,26,1,"11,374","1,374"
Liberia,213,,"20 ",,101,92,,42,4,,
Madagascar,212,," ",,107,105,1,8,,"5,670",205
"South Sudan",203,," ",,2,201,,18,,"1,247",111
Martinique,189,,"14 ",,91,84,2,504,37,,
Eswatini,187,,"2 ",,48,137,,161,2,"2,262","1,950"
"Faeroe Islands",187,," ",,187,0,,"3,827",,"8,638","176,780"
Myanmar,181,,"6 ",,79,96,,3,0.1,"12,061",222
Guadeloupe,155,,"13 ",,109,33,4,387,32,,
"French Guiana",153,,"1  ",,124,28,,512,3,,
Gibraltar,147,," ",,144,3,,"4,363",,"4,576","135,823"
CAR,143,," ",,10,133,,30,,"3,498",724
"Brunei ",141,,"1 ",,134,6,2,322,2,"16,350","37,373"
Uganda,139,," ",,55,84,,3,,"65,275","1,427"
Cambodia,122,," ",,121,1,1,7,,"14,461",865
Bermuda,121,,"8 ",,66,47,2,"1,943",128,"4,642","74,537"
"Trinidad and Tobago",116,,"8 ",,107,1,,83,6,"2,498","1,785"
Guyana,113,,"10 ",,41,62,3,144,13,"1,020","1,297"
Mozambique,104,," ",,34,70,,3,,"4,365",140
Aruba,101,,"3 ",,91,7,4,946,28,"1,913","17,918"
Monaco,96,,"4 ",,87,5,1,"2,446",102,,
Bahamas,94,,"11 ",,41,42,1,239,28,"1,670","4,247"
"Cayman Islands",86,,"1 ",,54,31,3,"1,309",15,"4,893","74,450"
Barbados,85,,"7 ",,65,13,4,296,24,"3,323","11,563"
Liechtenstein,82,,"1 ",,55,26,,"2,151",26,900,"23,605"
"Sint Maarten",76,,"15 ",,46,15,7,"1,773",350,329,"7,673"
Yemen,70,,"12 ",,1,57,,2,0.4,120,4
Libya,64,,"3 ",,28,33,,9,0.4,"3,253",473
Malawi,63,,"3 ",,24,36,1,3,0.2,"1,363",71
Mongolia,61,19," ",,15,46,2,19,,"10,162","3,100"
"French Polynesia",60,," ",,58,2,1,214,,"3,096","11,021"
Syria,48,,"3 ",,29,16,,3,0.2,,
Angola,45,,"2 ",,14,29,,1,0.06,"3,000",91
Macao,45,," ",,43,2,1,69,,,
"Saint Martin",39,,"3 ",,30,6,1,"1,009",78,,
Eritrea,39,," ",,38,1,,11,,,
Zimbabwe,37,,"4 ",,12,21,,2,0.3,"20,537","1,382"
Nicaragua,25,,"8 ",,7,10,,4,1,,
"Antigua and Barbuda",25,,"3 ",,19,3,1,255,31,183,"1,869"
Botswana,24,,"1 ",,17,6,,10,0.4,"11,495","4,888"
Timor-Leste,24,," ",,21,3,,18,,738,560
Gambia,23,,"1 ",,10,12,,10,0.4,"1,341",555
Grenada,21,," ",,13,8,4,187,,"1,406","12,495"
Laos,19,," ",,14,5,,3,,"3,975",546
